iter	RMSE
0	14.28654349
1	13.66098908
2	12.92385963
3	12.25238336
4	11.65710992
5	11.07252498
6	10.59144351
7	10.17131327
8	9.712576065
9	9.376535818
10	8.996245397
11	8.661877796
12	8.382051994
13	8.15389023
14	7.919180334
15	7.728335109
16	7.566640185
17	7.434184655
18	7.262504795
19	7.123642445
20	7.002352133
21	6.894879791
22	6.774044999
23	6.678950296
24	6.576487483
25	6.497917327
26	6.421001573
27	6.346495256
28	6.283488565
29	6.220269555
30	6.17163026
31	6.115484705
32	6.077257446
33	6.021833336
34	5.994954156
35	5.949632763
36	5.919548249
37	5.865925519
38	5.838244186
39	5.806922042
40	5.788959879
41	5.758622832
42	5.728624595
43	5.708908141
44	5.68715908
45	5.667297337
46	5.653021343
47	5.625073081
48	5.61520304
49	5.598575246
50	5.580496587
51	5.560581543
52	5.541407356
53	5.528543264
54	5.506910104
55	5.494124635
56	5.479074221
57	5.460181186
58	5.450618059
59	5.440231594
60	5.429036352
61	5.418017526
62	5.412977556
63	5.407130222
64	5.401434301
65	5.396568383
66	5.388007832
67	5.382392202
68	5.374797612
69	5.372840381
70	5.369552999
71	5.362466799
72	5.356692701
73	5.348262133
74	5.342545797
75	5.337256408
76	5.332519976
77	5.327937647
78	5.321976828
79	5.306498498
80	5.305652569
81	5.299445322
82	5.295992032
83	5.291163357
84	5.286103841
85	5.275972105
86	5.27204712
87	5.268017817
88	5.261966624
89	5.257893529
90	5.254202068
91	5.251193769
92	5.248439985
93	5.244754648
94	5.236044324
95	5.231363218
96	5.221792373
97	5.215365631
98	5.21114635
99	5.205716782
100	5.203224664
101	5.201385372
102	5.194431011
103	5.186063158
104	5.181172575
105	5.174885872
106	5.171073742
107	5.16601323
108	5.164389138
109	5.155170057
110	5.152249403
111	5.149046313
112	5.14598697
113	5.14060141
114	5.12933357
115	5.127490698
116	5.124727656
117	5.122758528
118	5.115614363
119	5.107630054
120	5.104232224
121	5.096277383
122	5.093695072
123	5.089255785
124	5.085775577
125	5.082419988
126	5.07912172
127	5.073649315
128	5.070742627
129	5.067587113
130	5.066349027
131	5.060696568
132	5.059168283
133	5.056280447
134	5.049821197
135	5.045109966
136	5.037290198
137	5.036378865
138	5.02870348
139	5.025307421
140	5.023488311
141	5.01543302
142	5.014263778
143	5.010189052
144	5.0062601
145	5.004651353
146	5.000021961
147	4.995191287
148	4.989893788
149	4.982294951
150	4.979718588
151	4.977817351
152	4.975198152
153	4.969338181
154	4.963700854
155	4.956334856
156	4.953034892
157	4.951329417
158	4.950754253
159	4.946711409
160	4.946396856
161	4.94333703
162	4.939899965
163	4.93401466
164	4.930826883
165	4.927806981
166	4.92175458
167	4.919102268
168	4.918901218
169	4.917837702
170	4.911577969
171	4.905788757
172	4.903524897
173	4.902635556
174	4.899010195
175	4.898552724
176	4.894062065
177	4.893648517
178	4.890135083
179	4.88787517
180	4.885119891
181	4.880244594
182	4.873542868
183	4.86834382
184	4.866369325
185	4.865523433
186	4.861174675
187	4.859909523
188	4.859722861
189	4.853650538
190	4.850765025
191	4.849498659
192	4.844171277
193	4.843243462
194	4.838633195
195	4.836128882
196	4.834134172
197	4.829509271
198	4.826071018
199	4.8237417
