iter	Passed	Remaining
0	1	319
1	2	240
2	3	233
3	4	207
4	4	194
5	6	204
6	7	204
7	8	203
8	10	217
9	11	212
10	12	210
11	13	210
12	14	203
13	15	203
14	16	200
15	16	194
16	17	192
17	19	199
18	20	197
19	21	192
20	22	188
21	22	184
22	23	180
23	24	176
24	24	172
25	25	169
26	25	166
27	26	163
28	27	160
29	27	157
30	28	154
31	29	154
32	30	153
33	31	152
34	31	149
35	32	148
36	33	146
37	33	144
38	34	142
39	35	140
40	35	138
41	36	137
42	37	135
43	37	133
44	38	131
45	38	130
46	39	128
47	40	128
48	41	127
49	42	126
50	42	125
51	43	124
52	44	122
53	44	121
54	45	120
55	46	118
56	46	117
57	47	116
58	48	114
59	48	113
60	49	112
61	50	111
62	50	110
63	51	110
64	52	109
65	53	108
66	54	107
67	54	105
68	55	104
69	55	103
70	56	102
71	57	101
72	57	100
73	58	99
74	59	98
75	59	97
76	60	96
77	61	95
78	61	94
79	63	94
80	63	93
81	64	92
82	65	91
83	65	90
84	66	89
85	67	88
86	67	87
87	68	86
88	68	85
89	69	84
90	70	84
91	70	83
92	71	82
93	71	81
94	72	80
95	74	80
96	74	79
97	75	78
98	76	77
99	76	76
100	77	76
101	78	75
102	78	74
103	79	73
104	80	72
105	80	71
106	81	70
107	82	69
108	82	69
109	83	68
110	84	67
111	85	66
112	85	66
113	86	65
114	87	64
115	87	63
116	88	62
117	89	61
118	89	61
119	90	60
120	90	59
121	91	58
122	91	57
123	92	56
124	93	55
125	93	55
126	94	54
127	95	53
128	96	53
129	97	52
130	97	51
131	98	50
132	99	49
133	99	49
134	100	48
135	100	47
136	101	46
137	101	45
138	102	44
139	102	44
140	103	43
141	103	42
142	104	41
143	105	40
144	106	40
145	106	39
146	107	38
147	108	38
148	108	37
149	109	36
150	110	35
151	110	34
152	111	34
153	112	33
154	112	32
155	113	31
156	113	31
157	114	30
158	114	29
159	115	28
160	116	28
161	117	27
162	117	26
163	118	26
164	119	25
165	119	24
166	120	23
167	120	23
168	121	22
169	122	21
170	122	20
171	123	20
172	123	19
173	124	18
174	124	17
175	125	17
176	126	16
177	127	15
178	128	15
179	129	14
180	129	13
181	130	12
182	130	12
183	131	11
184	132	10
185	132	9
186	133	9
187	133	8
188	134	7
189	134	7
190	135	6
191	136	5
192	137	4
193	138	4
194	139	3
195	139	2
196	140	2
197	141	1
198	141	0
199	142	0
